id,name,type,sku,description,weight,width,depth,height,price,cost_price,retail_price,sale_price,map_price,tax_class_id,product_tax_code,calculated_price,brand_id,option_set_id,option_set_display,inventory_level,inventory_warning_level,inventory_tracking,reviews_rating_sum,reviews_count,total_sold,fixed_cost_shipping_price,is_free_shipping,is_visible,is_featured,warranty,bin_picking_number,upc,mpn,gtin,search_keywords,availability,availability_description,sort_order,condition,is_condition_shown,order_quantity_minimum,order_quantity_maximum,page_title,base_variant_id
10652,"4-Foot Recessed Mounted LED Linear Fixture, 24W or 48W TF-44RFSF48L",physical,TF-44RFSF48L,"<div class=""short-description""><p>4-foot recessed mounted LED linear fixture, snap in frosted acrylic lens material, 24 or 48 watts, 2400 or 4800 lumens, 4000K color temperature (CCT), 50,000 hrs of L70 LED life, 5 year warranty.</p></div><div class=""ProductDescription""><p>A linear 4 x 4 fixture for distinctive architectural lighting plans. Ideal for corridors, lobbies, and office areas, 4 x 4 Series fixtures can be installed individually or in a continuous run. Specially designed for direct light only or direct/indirect lighting with snap in lens to hide the lamps or LED arrays. Ideal for corridors, lobbies, and office areas,etc.</p> <p><strong>CONSTRUCTION<br /></strong>Die-formed and welded 22-gauge cold rolled steel. Knockouts on ends allow continuous wireway mounting. Housing is specially designed for direct/indirect lighting with separating lamps compartments for each.</p> <p><strong>DIFFUSERS<br /></strong>Fixture accepts various lenses or louvers. 4' and 8' units have a steel mullion to join two individual diffusers. Snap-in reflector is ideal for uplight lens.</p> <p><strong>TYPICAL OPTIONS &amp; ACCESSORIES<br /></strong>Cord sets, whips, occupancy sensors, hanging kits, wire guards. Contact factory for more details.</p> <p><strong>DIMENSIONS</strong></p> <ul> <li>4ft.-4""W x 48""L x 4""H</li> <li>8ft.-4&rdquo;W x 96""L x 4&rdquo;H</li> </ul> <p><strong>FEATURES &amp; BENEFITS</strong></p> <ul> <li>Can be surface mounted to the ceiling or pendant hung by stem or cable.</li> <li>Consult factory for custom length or custom finish.</li> <li>Can be used individually or in continuous row.</li> <li>Light is continuous bringing a clean line</li> <li>Suitable for commercial or residential areas</li> <li>Suitable for dry and damp locations</li> <li>50,000 hrs of L70 LED life</li> <li>CRI &gt;80</li> <li>0-10 Volt dimmable 120-277V</li> <li>Power factor 0.99</li> <li>5 year warranty</li> </ul></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/44-LED.pdf"" target=""_blank"">4-Foot Recessed Mounted LED Linear Fixture Spec Sheet</a></p></div></div>",16,0,0,0,277.15,194,323.35,0,0,0,,277.15,149,5502,right,10,0,none,0,0,0,0,,1,,,,,44RFSF48L,,,available,,0,New,,0,0,"4-Foot Recessed Mounted LED Linear Fixture, 24W or 48W",
10653,"14-Inch DOB LED Ceiling Mount Fixture 23W LT-CMED314",physical,LT-CMED314,"<div class=""short-description""><p>14-inch DOB LED ceiling mount fixture, 23 watts, 1200 lumens, 50,000 hours working life, available in 2700K, 3000K, 3500K, or 4000K color temperature (CCT), 50,000 hours working life.</p></div><div class=""ProductDescription""><h2><strong>DESIGN FEATURES</strong></h2> <hr /> <p><strong>ELECTRICAL CONNECTION</strong></p> <ul> <li>120VAC LED Power Supply on-board with stated-of-the-art customized IC chip (DoB).</li> <li>10-100% triac dimming with most of leading and trailing edge incandescent &amp; low voltage dimmer switches.</li> <li>Advanced driver circuit design (Pat. Pending) prevents damage to the LED module and switch from common inrush currents.</li> <li>Recommended for use max. 30 fixtures per run on a 600W max load dimmer switch, 15 fixtures per run on a 300W max load dimmer switch.</li> <li>Available 2700K, 3000K, 3500K, 4000K color temperature.</li> <li>Optional step down transformer (TS27-12) converts 277VAC to 120VAC.</li> </ul> <p><strong>LIMITED WARRANTY</strong></p> <ul> <li>LED Module: 5 years/50K hours</li> <li>Product: 3 years</li> </ul> <p><strong>LISTING</strong></p> <ul> <li>cETLus Wet Location</li> <li>ENERGY STAR</li> <li>California Title 24</li> </ul></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/CMED.pdf"" target=""_blank"">14-Inch DOB LED Ceiling Mount Fixture Spec Sheet</a></p></div></div>",16,0,0,0,108.85,65.73,119.51,0,0,0,,108.85,110,5503,right,10,0,none,0,0,0,0,,1,,,,,CMED314,,,available,,0,New,,0,0,"14-Inch DOB LED Ceiling Mount Fixture 23W",
10655,"5-Inch LED DoB Ceiling Puck Lighting 12W LT-CMED-605-BN",physical,LT-CMED-605-BN,"<div class=""short-description""><p>5-inch LED DoB ceiling puck lighting, 12 watts, 680 lumens, available in 2700K, 3000K, 3500K, or 4000K color temperature (CCT), 50,000 hours lamp life, brushed nickel finish.</p></div><div class=""ProductDescription""><p>The 5&rdquo; and 7&rdquo; LED DoB Ceiling Pucks are designed for use in new construction or for retrofitting 4&rdquo; and 6&rdquo; IC/Airtight and Non-IC recessed downlights. The Pucks Flush Mount over 3.5&rdquo;or 4&rdquo; J-box on ceiling or on the wall. Optional mounting kits and E26 and GU24 adapters are available for easy can installation. High efficacy 120VAC LED DoB (Driver on Board) Module (Campcell ) with integral triac dimmer capability. The optical diffusing lens produces high lumen transmission and even illumination. Suitable for Wet Location.</p> <h2><strong>DESIGN FEATURES</strong></h2> <hr /> <p><strong>MOUNTING</strong></p> <ul> <li>Flush Mount over 3.5&rdquo;or 4&rdquo; J-box on ceiling or on the wall.</li> <li>Optional retrofit kits available for 4&rdquo; (5MTL) and 6&rdquo; (7MTL) recessed down lights.</li> <li>Optional E26 and GU24 Adapters are also available for easy wiring.</li> </ul> <p><strong>LENS</strong></p> <ul> <li>High impact translucent plastic lens.</li> <li>High lumen transmission and diffusing for even illumination.</li> </ul> <p><strong>ELECTRICAL CONNECTION</strong></p> <ul> <li>120VAC LED Power Supply on-board with stated-of-the-art customized IC chip (DoB). 10-100% triac dimming with most of leading and trailing edge incandescent &amp; low voltage dimmer switches.</li> <li>Advanced driver circuit design (Pat. Pending) prevents damage to the LED module and switch from common inrush currents.</li> <li>Recommended for use max. 45 fixtures per run on a 600W max load dimmer switch. 23 fixtures per run on a 300W max load dimmer switch.</li> </ul> <p><strong>LIMITED WARRANTY</strong></p> <ul> <li>LED Module: 5 years/50K hours</li> <li>Product: 3 years</li> </ul> <p><strong>LISTING</strong></p> <ul> <li>cETLus Wet Location</li> <li>ENERGY STAR</li> <li>California Title 24</li> </ul></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/CMED.pdf"" target=""_blank"">5-Inch LED DoB Ceiling Puck Lighting 12W Spec Sheet</a></p></div></div>",5,0,0,0,51.65,29.7,54,0,0,0,,51.65,110,5504,right,0,0,none,0,0,0,0,,1,,,,,CMED-605-BN,,,available,,0,New,,0,0,"5-Inch LED DoB Ceiling Puck Lighting 12W",
10656,"Spotstar LED DoB Track Lighting, 15W or 20W LT-STS-2370",physical,LT-STS-2370,"<div class=""short-description""><p>Spotstar LED DoB track lighting, 15 or 20 watts, available in 2700K, 3000K, 3500K, or 4000K color temperature (CCT), 50,000 hours working life, driver on board.</p></div><div class=""ProductDescription""><h2><strong>DESIGN FEATURES</strong></h2> <hr /> <p><strong>CONSTRUCTION<br /></strong>Aluminum Head and Heat Sink in five designs.</p> <p><strong>BEAM SPREAD<br /></strong>Exchangeable reflectors for beam angles 15˚, 24˚ and 40˚.</p> <p><strong>LED MODULES</strong></p> <ul> <li>120VAC Direct DoB circuit on Board with customized IC chip.</li> <li>Advanced AC driver circuit design (Pat. Pending) prevents damage to the LED module and switch from common inrush currents.</li> <li>10-100% triac dimmable with most of leading and trailing edge incandescent &amp; low voltage dimmer switches.</li> <li>Wattages available in 15W, 20W, 30W with 80, 90 CRI and 2700K, 3000K, 3500K, 4000K CCT.</li> </ul> <p><strong>ADJUSTABILITY<br /></strong>Directionally adjustable up to 90˚ tilt and 330˚ rotation for easy aiming track heads in multiple directions.</p> <p><strong>TRACK ADAPTERS<br /></strong>Adapters are available to fit with Juno, Halo, Capri, and Lightolier tracks.</p> <p><strong>LIMITED WARRANTY</strong></p> <ul> <li>LED Module: 5 years/50K hours</li> <li>Product: 3 years</li> </ul> <p><strong>LISTING</strong></p> <ul> <li>cCSA-us Certificated</li> <li>ENERGY STAR</li> <li>California Title 24</li> </ul></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/TRACKHEADS.pdf"" target=""_blank"">Spotstar LED DoB Track Lighting Spec Sheet</a></p></div></div>",10,0,0,0,96,67.1,122,0,0,0,,96,110,5832,right,0,0,none,0,0,0,0,,1,,,,,STS-2370,,,available,,0,New,,0,0,"Spotstar LED DoB Track Lighting, 15W or 20W",
10657,"Spotstar LED DoB Track Lighting, 15W-30W LT-STS-2380",physical,LT-STS-2380,"<div class=""short-description""><p>Spotstar LED DoB track lighting, 15-30 watts, available in 2700K, 3000K, 3500K, or 4000K color temperature (CCT), 50,000 hours working life, driver on board.</p></div><div class=""ProductDescription""><h2><strong>DESIGN FEATURES</strong></h2> <hr /> <p><strong>CONSTRUCTION<br /></strong>Aluminum Head and Heat Sink in five designs.</p> <p><strong>BEAM SPREAD<br /></strong>Exchangeable reflectors for beam angles 15˚, 24˚ and 40˚.</p> <p><strong>LED MODULE</strong></p> <ul> <li>120VAC Direct DoB circuit on Board with customized IC chip.</li> <li>Advanced AC driver circuit design (Pat. Pending) prevents damage to the LED module and switch from common inrush currents.</li> <li>10-100% triac dimmable with most of leading and trailing edge incandescent &amp; low voltage dimmer switches.</li> <li>Wattages available in 15W, 20W, 30W with 80, 90 CRI and 2700K, 3000K, 3500K, 4000K CCT.</li> </ul> <p><strong>ADJUSTABILITY<br /></strong>Directionally adjustable up to 90˚ tilt and 330˚ rotation for easy aiming track heads in multiple directions.</p> <p><strong>TRACK ADAPTERS<br /></strong>Adapters are available to fit with Juno, Halo, Capri, and Lightolier tracks.</p> <p><strong>LIMITED WARRANTY</strong></p> <ul> <li>LED Module: 5 years/50K hours</li> <li>Product: 3 years</li> </ul> <p><strong>LISTING</strong></p> <ul> <li>cCSA-us Certificated</li> <li>ENERGY STAR</li> <li>California Title 24</li> </ul></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/TRACKHEADS.pdf"" target=""_blank"">Spotstar LED DoB Track Lighting Spec Sheet</a></p></div></div>",10,0,0,0,101.2,70.68,128.51,0,0,0,,101.2,110,5554,right,0,0,none,0,0,0,0,,1,,,,,STS-2380,,,available,,0,New,,0,0,"Spotstar LED DoB Track Lighting, 15W-30W",
10661,"4-Foot Premier Full Body High Bay with 10x18W X1 LED T8 Lamps Included TF-HBC1232M23X1LN18W",physical,TF-HBC1232M23X1LN18W,"<div class=""short-description""><p>4-foot premier full body high bay with 10x18W X1 LED T8 lamps included, 25200 lumens, available in 3500K, 4000K, and 5000K color temperature (CCT), 50,000 hours working life, 5 year warranty.</p></div><div class=""ProductDescription""><p><strong>X1 LED<br /></strong>The most economical, practical and user friendly series of LED fixtures with the energy savings, quality of light, long life and hassle-free maintenance. X1 LED fixtures are UL Listed with the latest LED T8 Bypass lamps. Fixtures provide over 44% energy savings over comparable fluorescent fixtures utilizing less expensive fixtures than the fluorescent version (no ballast required) and have flexibility to change wattage and color temperature any time. Fixture performance will evolve over time with the evolution of the T8 LED lamp technology. Concerned about maintenance with an LED array and driver fixture, X1 LED solves that by utilizing a self contained LED lamp that fits into fixture just like a fluorescent lamp. <br /><br />This X1LED, high efficiency high bay with premium performance in medium and low ceiling applications ideally suited for warehouses, manufacturing plants, sports facilities and retail spaces. A precision-formed reflector system available in either highly reflective mirror or enhanced white reflector achieve maximum light output for ceilings from 15 feet to 25 feet. The unique lamp arrangement is ideal for wide area lighting to put the light exactly where you need it with less fixtures. The X1LED high bay fixtures utilize efficient LED T8 lamps that provide high lumen output with efficient energy savings. Since they don&rsquo;t require any ballast or driver the only component that will ever need changing is the LED T8 lamp. The lamps are warranted for five years. Unlike high bay fixtures that utilize LED arrays and drivers these fixtures have the flexibility to change wattage, lumens, and color temperature simply by changing the lamps without the need to call a licensed electrician. Based on ceiling height, these fixtures can replace an HID high bay using half of the wattage. Surface, pendant, chain or stem mounting. Optional wireguard allows easy lamp access. Highest quality materials and workmanship.</p> <p><strong>LAMP<br /></strong>4, 6, 8, 10 or 12 lamp positions</p> <p><strong>CONSTRUCTION<br /></strong>Housing is 22 gauge prepainted steel. Air vents surround the ballast and lamps in the back of the fixture to maximize lamp and ballast performance, reliability and life. High reflective mirror or enhanced white reflectors are computer designed to maximize photometric performance and put the light where you need it. Refl ector snaps into fixture with no tools and is easily removable for ballast maintenance. Access plate in the back makes wiring fast and hasslefree. Back of fi xture is designed with built-in mounting holes for tong hanger, cable kit and surface mount. Uplight slots are optional to add uplight. Integral Occupancy Sensor is optional on 6 light series which is ideal for wire guard applications.</p> <p><strong>SIZE W x L x H in inches(mm)<br /></strong>12 lamp: 20.4W x 48.1L x 3.6Dp</p> <p><strong>CONSTRUCTION<br /></strong>Our T8 LED lamps are available in 2 or 4 ft sizes in different wattage, lumens and color temperature options</p> <ul> <li>50,000 Hour Life with 5 Year Warranty</li> <li>Beam Angle 140 Degree</li> <li>Aluminum Base and Aluminum Housing with Glass Cover</li> <li>Operating Temperature: - 20C to 50C</li> <li>Color Temperature: 3500K, 4000K, 5000K</li> <li>G13 Pins (Same as Fluorescent Linear T8 Bipin)</li> <li>AC100 &ndash; 277V without Ballast</li> <li>Single Ended or Double Ended Power (If not specified use X1 Single Ended Power)</li> </ul> <p><strong>OPTIONAL DIMMING OPTIONS<br /></strong>The 4 FT lamps are available with a dimming option. Specially designed dimming lamps require an external driver that runs 1 or 2 lamps. So more than 2 lamps require multiple external drivers.</p> <p><strong>EMERGENCY OPTIONS<br /></strong>The standard X1 LED Lamps require an inverter or an All-in-one emergency kit that includes LED array, battery and driver. Dimmable T8 LED with external driver works with standard LED EM it. See emergency options and specs at www.texasfluorescents.com/ X1LEDemergency.</p></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/HBC-X1.pdf"" target=""_blank"">4-Foot Premier Full Body High Bay Spec Sheet</a></p></div></div>",16,0,0,0,305.72,214,356.7,0,0,0,,305.72,149,5509,right,0,0,none,0,0,0,0,,1,,,,,HBC1232M23X1LN18W,,,available,,0,New,,0,0,"4-Foot Premier Full Body High Bay with 10x18W X1 LED T8 Lamps Included",
10662,"4Ft. Harsh Environment Enclosure with Clear Lens 2x18W X1 LED T8 Lamps Included",physical,TF-CITCL332X1LN18W,"<div class=""short-description""><p>4-foot harsh environment enclosure with clear lens 2x18W X1 LED T8 lamps included, 4200 lumens, available in 3500K, 4000K, and 5000K color temperature (CCT), 50,000 hours working life, 5 year warranty.</p></div><div class=""ProductDescription""><p><strong>X1 LED<br /></strong>The most economical, practical and user friendly series of LED fixtures with the energy savings, quality of light, long life and hassle-free maintenance. X1 LED fixtures are UL Listed with the latest LED T8 Bypass lamps. Fixtures provide over 44% energy savings over comparable fluorescent fixtures utilizing less expensive fixtures than the fluorescent version (no ballast required) and have flexibility to change wattage and color temperature any time. Fixture performance will evolve over time with the evolution of the T8 LED lamp technology. Concerned about maintenance with an LED array and driver fixture, X1 LED solves that by utilizing a self contained LED lamp that fits into fixture just like a fluorescent lamp. CITADEL 2&trade; offers more versatility than any other weatherproof enclosure offered in North America. Poured in place gasket and cam latches seal the enclosures. The Mounting System can provide dramatic savings on the installation labor. Designed around T8 LED tubes for long term energy saving. Very tough diffusers resist breakage. The X1LED harsh environment enclosures fixtures utilize efficient LED T8 lamps that provide high lumen output with efficient energy savings. Since they don&rsquo;t require any ballast or driver the only component that will ever need changing is the LED T8 lamp. The lamps are warranted for five years. Unlike harsh environment enclosure fixtures that utilize LED arrays and drivers these fixtures have the flexibility to change wattage, lumens, and color temperature simply by changing the lamps without the need to call a licensed electrician.</p> <p><strong>LAMP<br /></strong>1, 2, or 3 Lamp Positions in Cross section.</p> <p><strong>MATERIALS &amp; FEATURES<br /></strong>One piece compression molded polyester fiberglass housing with polycarbonate latches. Seamless continuously bonded poured-in-place polyeurethane gasketing. Fixture component tray attaches fixture body with pinch-release clips. 1/2&rdquo; conduit enrty hole in each end of housing with weathertight plug.</p> <ul> <li>Stainless steel latch with &ldquo;keeper&rdquo; (optional).</li> <li>Latches can be tamper proof with #6 screw.</li> <li>UL certified for wet locations.</li> </ul> <p><strong>MOUNTING<br /></strong>Durable stainless steel mounting hardware. No holes ever have to be drilled through the housing for nstallation. Installation time is dramatically reduced. Optional stainless steel bail for chain hung installations.</p> <p><strong>DIFFUSER<br /></strong>High reflectance component tray reflector. 100% Impact modified UV stabilized acrylic linear ribbed lens with smooth exterior face for easy cleaning.</p> <p><strong>SIZE<br /></strong>4.50W x 4.12H (115 x 105)</p> <p><strong>LAMP SPECIFICATIONS</strong></p> <ul> <li>Our T8 LED lamps are available in 2 or 4 ft sizes in different wattage, lumens and color temperature options</li> <li>50,000 Hour Life with 5 Year Warranty</li> <li>Beam Angle 140 Degree</li> <li>Aluminum Base and Aluminum Housing with Glass Cover</li> <li>Operating Temperature: - 20C to 50C</li> <li>Color Temperature: 3500K, 4000K, 5000K</li> <li>G13 Pins (Same as Fluorescent Linear T8 Bipin)</li> <li>AC100 &ndash; 277V without Ballast</li> <li>Single Ended or Double Ended Power (If not specified use X1 Single Ended Power)</li> </ul> <p><strong>OPTIONAL DIMMING OPTIONS<br /></strong>The 4 FT lamps are available with a dimming option. Specially designed dimming lamps require an external driver that runs 1 or 2 lamps. So more than 2 lamps require multiple external drivers.</p> <p><strong>EMERGENCY OPTIONS<br /></strong>The standard X1 LED Lamps require an inverter or an All-in-one emergency kit that includes LED array, battery and driver. Dimmable T8 LED with external driver works with standard LED EM it. See emergency options and specs at www.texasfluorescents.com/ X1LEDemergency.</p></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/CIT-X1.pdf"" target=""_blank"">4-Foot Harsh Environment Enclosure Spec Sheet</a></p></div></div>",16,0,0,0,111.43,78,130,0,0,0,,111.43,149,5510,right,0,0,none,0,0,0,0,,1,,,,,CITCL332X1LN18W,,,available,,0,New,,0,0,"4-Foot Harsh Environment Enclosure with Clear Lens 2x18W",
10666,"Round Puff LED Ceiling Fixture SP-2-0249D",physical,SP-2-0249D,"<div class=""short-description""><p>Round puff LED ceiling fixture, 48 watts, 3400 or 3600 lumens, available in 3000K or 4100K color temperature (CCT), 5 years warranty on driver and LED module.</p></div><div class=""ProductDescription""><h2><strong>SERIES SUMMARY</strong></h2> <table class=""data-table"" border=""0""> <thead> <tr> <td>Model #</td> <td>Voltage</td> <td>Wattage</td> <td>CRI</td> <td>Lumen</td> <td>Dimension (LxWxH)</td> </tr> </thead> <tbody> <tr> <td>2-0249D-3000K</td> <td>120V</td> <td>48W</td> <td>&gt;80</td> <td>3400</td> <td>23.0"" x 3.7""</td> </tr> <tr> <td>2-0249D-4100K</td> <td>120V</td> <td>48W</td> <td>&gt;80</td> <td>3600</td> <td>23.0"" x 3.7""</td> </tr> </tbody> </table> <h2><strong>DESIGN FEATURES</strong></h2> <hr /> <p><strong>HOUSING<br /></strong>Die-formed Cold-rolled Steel</p> <p><strong>OPTICAL</strong></p> <ul> <li>Shade: High Transmission Acrylic Create Excellent Light Distribution and Uniformity</li> <li>LED: High Efficiency, High CRI, Binned and Mixed to Reach Uniform Light</li> </ul> <p><strong>ELECTRICAL<br /></strong>High Power Factor, Low THD</p> <p><strong>LAMP<br /></strong>LED Type: Built-in (More Color Temperature Option &ndash; 3500K, 5000K)</p> <p><strong>CERTIFICATIONS<br /></strong>ETL/cETL Listed, Suitable for Damp Locations</p> <p><strong>WARRANTY<br /></strong>5 Years Warranty on Driver and LED Module</p></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/DS_2-0249.pdf"" target=""_blank"">Round Puff LED Ceiling Fixture Spec Sheet</a></p></div></div>",16,0,0,0,51.9,36.3,60.5,0,0,0,,51.9,116,5511,right,0,0,none,0,0,0,0,,1,,,,,2-0249D,,,available,,0,New,,0,0,"Round Puff LED Ceiling Fixture",
10667,"18 Watt Decorative LED Flush Mount Ceiling Fixture",physical,SP-DC612D,"<div class=""short-description""> <p>Decorative LED flush mount ceiling fixture, 18 watts, 1,400 lumens, available in 3000K or 4000K color temperature (CCT), 5 years warranty on LED driver and LED module.</p> </div> <div class=""ProductDescription""> <p><strong>SERIES SUMMARY</strong></p> <table class=""data-table"" border=""0""> <thead> <tr> <td>Model #</td> <td>Voltage</td> <td>Wattage</td> <td>CRI</td> <td>Lumen</td> <td>Dimension (OD x H)</td> <td>Shade</td> </tr> </thead> <tbody> <tr> <td>DC612D</td> <td>120-277v</td> <td>18W</td> <td>80</td> <td>1340</td> <td>12.0"" x 5.0""</td> <td>Acrylic / Linen</td> </tr> </tbody> </table> <p><strong>DESIGN FEATURES</strong></p> <hr /> <p><strong>HOUSING</strong></p> <ul> <li>Die-formed Cold-rolled Steel</li> <li>Side Shade: Semi-clear White Decorative Fibre Linen</li> </ul> <p><strong>OPTICAL</strong></p> <ul> <li>Shade: High Transmission Acrylic Front Panel Create Excellent Light Distribution and Uniformity</li> <li>LED: High Efficiency, High CRI, Binned and Mixed to Reach Uniform Light.</li> </ul> <p><strong>ELECTRICAL<br /></strong>High Power Factor, Low THD</p> <p><strong>LAMP</strong></p> <ul> <li>LED Type: Built-in (Color Temperature Option &ndash; 3500K, 5000K)</li> <li>CFL Type: GU24 CFL Bulb (Color Temperature Option &ndash; 2700K, 4000K)</li> </ul> <p><strong>CERTIFICATION<br /></strong>UL/cUL, ETL/cETL Listed, Suitable for Damp Locations</p> <p><strong>WARRANTY<br /></strong>5 Years Warranty on LED Driver and LED Module</p> </div> <div class=""resources_and_downloads""> <div class=""block_ResDown""> <h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> <p class=""resourses""><a href=""../../../../content/resources/specs/DC612-DC614-DC618.pdf"" target=""_blank"" rel=""noopener"">Decorative LED Flush Mount Ceiling Fixture Spec Sheet</a></p> </div> </div>",12,0,0,0,51.15,35.8,59.7,0,0,0,,51.15,116,5512,right,0,0,none,0,0,0,0,,1,,,,,DC612D,,,available,,0,New,,0,0,"Decorative LED Flush Mount Ceiling Fixture",
10668,"FL0324D Style PD 11 Watt Linear LED Pendant Lights",physical,SP-FL0324D-PD,"<div class=""short-description""> <p>FL02xxD-PD series linear LED pendant lights, 11 watts, 935 lumens, available in 3000K or 4000K color temperature (CCT), 5 years warranty on driver and LED module.</p> </div> <div class=""ProductDescription""> <p><strong>SERIES SUMMARY</strong></p> <table class=""data-table"" border=""0""> <thead> <tr> <td>Model #</td> <td>Voltage</td> <td>Wattage</td> <td>CRI</td> <td>Lumen</td> <td>Dimension(L X W X H1/H2)</td> <td>Energy Star</td> </tr> </thead> <tbody> <tr> <td>FL0324D-PD</td> <td>120-277v</td> <td>11W</td> <td>80</td> <td>935</td> <td>22.0"" x 4.8"" x 2.7""/5'</td> <td>Yes</td> </tr> </tbody> </table> <p><strong>DESIGN FEATURES</strong></p> <hr /> <p><strong>HOUSING</strong></p> <ul> <li>Die-formed Cold-rolled Steel and Aluminum Extrusion</li> <li>Finish Option: -62 Satin Nickel -01 Polish Brass -06 White -30 Oil Rubbed Bronze</li> </ul> <p><strong>OPTICAL</strong></p> <ul> <li>Shade: High Transmission Acrylic Create Excellent Light Distribution and Uniformity</li> <li>LED: High Efficiency, High CRI, Binned and Mixed to Reach Uniform Light.</li> </ul> <p><strong>ELECTRICAL<br /></strong>High Power Factor, Low THD</p> <p><strong>LAMP<br /></strong>LED Type: Built-in (Color Temperature Option &ndash; 3500K, 5000K)</p> <p><strong>CERTIFICATION<br /></strong>ETL/cETL Listed for Damp Locations, Energy Star</p> <p><strong>WARRANTY<br /></strong>5 Years Warranty on Driver and LED Module</p> </div> <div class=""resources_and_downloads""> <div class=""block_ResDown""> <h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> <p class=""resourses""><a href=""../../../../content/resources/specs/FL0324D-PD_FL0339D-PD_FL0354D-PD.pdf"" target=""_blank"" rel=""noopener"">FL02xxD-PD Series Linear LED Pendant Lights Spec Sheet</a></p> </div> </div>",16,0,0,0,35.71,25,41.66,0,0,0,,35.71,116,5513,right,0,0,none,0,0,0,0,,1,,,,,FL0324D-PD,,,available,,0,New,,0,0,"FL02xxD-PD Series Linear LED Pendant Lights",
